Timestamp,Chester_X,Chester_Y,Chester_Theta,Detected_Human_X,Detected_Human_Y,Detected_Distance,Detected_Confidence,True_Distance,Human_X,Human_Y
1746642408.75294,1.15233782252079,-0.56486932964032,-0.063742767795798,,,,,,1.968573,1.057352
1746642409.25681,1.15233762982528,-0.564869320794164,-0.063550831622831,,,,,,1.968573,1.057352
1746642409.75879,1.152337199828,-0.564869291445531,-0.063358905192877,,,,,,1.968573,1.057352
1746642410.25485,1.15233693420063,-0.564869179003949,-0.06316702609519,,,,,,1.968573,1.057352
1746642410.75841,1.15233682719598,-0.564869288826487,-0.063142486698533,,,,,,1.968573,1.057352
1746642411.25346,1.15233700930223,-0.564869344520352,-0.06314204087718,,,,,,1.968573,1.057352
1746642411.75384,1.15233674717184,-0.564869270407328,-0.063141642890393,,,,,,1.968573,1.057352
1746642412.25569,1.1523366357147,-0.564869332405857,-0.063141245547949,,,,,,1.968573,1.057352
1746642412.75268,1.15233672390732,-0.564869393107775,-0.063140855744184,,,,,,1.968573,1.057352
1746642413.25293,1.15233671831586,-0.564869306054649,-0.063140560562063,,,,,,1.968573,1.057352
1746642413.75371,1.15233671303908,-0.564869381714528,-0.06314020324881,,,,,,1.968573,1.057352
1746642414.25268,1.15233657987373,-0.564869314654313,-0.063139800378888,,,,,,1.968573,1.057352
1746642414.75274,1.15233678908418,-0.564869346693238,-0.063139438751455,,,,,,1.968573,1.057352
1746642415.25893,1.15233682562116,-0.564869391588479,-0.063139059049532,,,,,,1.968573,1.057352
1746642415.7531,1.15233675522106,-0.564869381916982,-0.063138708722477,,,,,,1.968573,1.057352
1746642416.2594,1.15233676837809,-0.564869270733708,-0.063138383528235,,,,,,1.968573,1.057352
1746642416.75297,1.15233680664463,-0.564869364694288,-0.063137928828178,,,,,,1.968573,1.057352
1746642417.25863,1.15233679006992,-0.564869423769269,-0.06313749686179,,,,,,1.968573,1.057352
1746642417.78012,1.15233672705793,-0.564869246666791,-0.063137298911378,,,,,,1.968573,1.057352
1746642418.25291,1.15233675544212,-0.564869181413119,-0.06313694032271,,,,,,1.968573,1.057352
1746642418.75262,1.15233678032247,-0.564869072372246,-0.063136665913113,,,,,,1.968573,1.057352
1746642419.25971,1.15233665999909,-0.564869188052456,-0.063136274445874,,,,,,1.968573,1.057352
1746642419.75628,1.15233665732492,-0.564869265950671,-0.063135829238215,,,,,,1.968573,1.057352
1746642420.25382,1.15233667487962,-0.564869250755301,-0.06313544392548,,,,,,1.968573,1.057352
1746642420.75266,1.15233663516917,-0.564869257830171,-0.063135172393582,,,,,,1.968573,1.057352
1746642421.2534,1.15233684795859,-0.564869251028016,-0.063134834467056,,,,,,1.968573,1.057352
1746642421.75271,1.15233670431607,-0.56486928287975,-0.063134502773748,,,,,,1.968573,1.057352
1746642422.25515,1.15233665401093,-0.564869232963087,-0.063134089081065,,,,,,1.968573,1.057352
1746642422.75477,1.15233654524427,-0.564869259265473,-0.063133717674698,,,,,,1.968573,1.057352
1746642423.25388,1.1523365158592,-0.564869212612297,-0.063133395535269,,,,,,1.968573,1.057352
1746642423.81813,1.15233669025823,-0.564869120502781,-0.063133191536438,,,,,,1.968573,1.057352
1746642424.25882,1.1523366285342,-0.564869352031796,-0.063132738341353,,,,,,1.968573,1.057352
1746642424.75263,1.15233657280977,-0.564869255100083,-0.063132443201673,,,,,,1.968573,1.057352
1746642425.25593,1.15233661578144,-0.564869244218152,-0.063132100753613,,,,,,1.968573,1.057352
1746642425.79992,1.15233649468371,-0.564869346211911,-0.063131683236373,,,,,,1.968573,1.057352
1746642426.2539,1.1523365775195,-0.564869316918379,-0.063131391756492,,,,,,1.968573,1.057352
1746642426.75329,1.15233658577741,-0.564869244922104,-0.063131134036129,,,,,,1.968573,1.057352
1746642427.26169,1.15233647673836,-0.564869265043896,-0.063130760767552,,,,,,1.968573,1.057352
1746642427.75432,1.15233668613058,-0.564869444732267,-0.063130351454398,,,,,,1.968573,1.057352
1746642428.25282,1.15233670367978,-0.564869399595844,-0.063129979262752,,,,,,1.968573,1.057352
1746642428.77859,1.15233664373528,-0.564869369096936,-0.063129646328406,,,,,,1.968573,1.057352
1746642429.26145,1.15233649731661,-0.564869170171973,-0.063129455635761,,,,,,1.968573,1.057352
1746642429.78152,1.15233671130378,-0.564869274544336,-0.063129138686846,,,,,,1.968573,1.057352
